juan palta,0901452201,espelady@gmail.com,Elija una categoría,false
wendy diaz,1651915,es@gmail.com,Familia,false
wilian marquez,0951247013,csks@gmail.com,Familia,false
juan oña,0974511741,solis@gmail.com,Amigos,false
marina viteri,098451454,ehb@y.com,Familia,true
jeremy,094145225,eje@gmail.com,Familia,true
alemi,0954121475,ju@gmail.com,Amigos,true
emilia,0984151411,jh@gmail.com,Amigos,false
aleja,0941114555,EE@gmail.com,Amigos,false
adrian,0874441152,jj@gmail.com,Trabajo,false
leydi,0994511425,vs@fgmail.com,Familia,true
alisson,0954447845,bhnj@gmail.com,Familia,false
alexandra,0987454451,ala@gmail.com,Familia,true
francisco,099945441,frank@gmail.com,Familia,true
ewdin,0998878451,edw@gmail.com,Trabajo,false
katty,0999474474,KAi45@gmail.com,Familia,true
